Subject,Start_date,Start_time,End_time,Location,Description
Malte Behrens – Nothing left for the Hunter,2024-11-23,19:00,,"Galerie K34, Kiel","kunst
Location Link: https://k34.org/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320532&date=2024-11-23"
Raum für neue Schaukelkultur,2024-11-23,,,"Pop-Up Pavillon, Kiel","kunst
tags (teilw.) eintritt frei, kinder
Location Link: https://www.kieler-innenstadt.de/kielerinnen/pop-up-pavillon.html
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127069&date=2024-11-23"
Irish Folk mit Mad for Tunes,2024-11-24,18:30,,"Witt's Gasthof, Krummbek, Kiel","konzert
18 €
Location Link: http://www.witts-gasthof.de/kontakt/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37664583&date=2024-11-24"
HOLIDAY ON ICE,2024-11-24,13:00,,"Wunderino Arena, Kiel","literatur
NEW SHOW
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=33896886&date=2024-11-24"
NightWash - Der Comedy Waschsalon,2024-11-24,19:00,,"Max Nachttheater, Kiel","comedy
tags comedy
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34512805&date=2024-11-24"
Nightwash,2024-11-24,21:30,,"Max Nachttheater, Kiel","comedy
tags comedy
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34964888&date=2024-11-24"
Hansen oder die Sache mit dem Pinguin,2024-11-24,11:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623856&date=2024-11-24"
Weihnachtsmärchen 2024 – „Rumpelstilzchen“,2024-11-24,11:00,,"Friedrich Ebert Halle, Preetz, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502685&date=2024-11-24"
"Mitspieltheater ""Frau Holle""",2024-11-24,12:00,,"Traum GmbH (Orange Club), Kiel","theater
Interaktives Theater für die ganze Familie
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37588703&date=2024-11-24"
Weihnachtsmärchen 2024 – „Rumpelstilzchen“,2024-11-24,15:00,,"Friedrich Ebert Halle, Preetz, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502686&date=2024-11-24"
Kindertheater des Monats: Katrin Sagener,2024-11-24,15:30,,"Kulturladen Leuchtturm, Kiel","theater
4 €
Location Link: http://www.kulturladen-leuchtturm.info/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37590577&date=2024-11-24"
Eine Weihnachtsgeschichte,2024-11-24,16:00,,"Opernhaus, Kiel","theater
Musiktheater für junges Publikum nach Charles Dickens
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37506246&date=2024-11-24"
De Bank in Park,2024-11-24,16:00,,"Lachmöwen-Theater, Laboe, Kiel","theater
Location Link: https://www.lachmoewen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36208558&date=2024-11-24"
Gib Pfote – Fenris und Tyr,2024-11-24,17:00,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416989&date=2024-11-24"
Tante Salzmanns Improshow,2024-11-24,19:00,,"Theater im Werftpark, Kiel","theater
135 Minuten
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416731&date=2024-11-24"
Dirk Schäfer: Salto Cannibale (Uraufführung),2024-11-24,19:00,,"Schauspielhaus, Kiel","theater
eine literarisch-musikalische Spurensuche
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673860&date=2024-11-24"
Führungen im Flandernbunker,2024-11-24,11:30,,"Flandernbunker (Mahnmal Kilian e.V.), Kiel","vortrag
Location Link: http://www.mahnmalkilian.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=83398&date=2024-11-24"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-24,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-24"
Holstein Kiel - 1. FSV Mainz 05,2024-11-24,15:30,,"Holstein-Stadion, Kiel","sport
1. Bundesliga
Location Link: https://www.holstein-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37586555&date=2024-11-24"
Armstrong,2024-11-24,14:00,,"Mediendom, Kiel","medien
tags kinder
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673828&date=2024-11-24"
Limbradur und die Magie der Schwerkraft,2024-11-24,15:30,,"Mediendom, Kiel","medien
Eintritt: 11,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673829&date=2024-11-24"
Sternenhimmel und Planeten,2024-11-24,17:00,,"Mediendom, Kiel","medien
Eintritt: 9,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673830&date=2024-11-24"
Space Tour,2024-11-24,18:30,,"Mediendom, Kiel","medien
Eintritt: 12,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673831&date=2024-11-24"
Kleider&Flohmarkt im Prinz Willy,2024-11-24,15:01,,"Prinz Willy, Kiel","sonstige
tags (teilw.) eintritt frei, flohmarkt
Location Link: https://www.prinzwilly.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37101893&date=2024-11-24"
TANGO AM KAI // Moderner und klassischer Tango,2024-11-24,19:30,,"Blauer Engel, Kiel","sonstige
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36272792&date=2024-11-24"
Kieler Weihnachtsmarkt,2024-11-24,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-24"
Stadtwerke Eisfestival,2024-11-24,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-24"
reconnecting.earth - Beyond Water (2),2024-11-24,10:00,,"Stadtgalerie, Kiel","kunst
Location Link: https://www.kiel.de/de/kultur_freizeit/stadtgalerie/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37582602&date=2024-11-24"
SingBAR im STATT-CAFÉ,2024-11-25,20:00,,"Statt-Café, Kiel","disco
Location Link: https://www.statt-cafe-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225406&date=2024-11-25"
HORST EVERS - So gesehen natürlich lustig,2024-11-25,20:00,,"Güterbahnhof, Kiel","comedy
VERLEGT AUF DEN 25.11.24 !!!
Location Link: http://www.budenzauber-catering.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38236708&date=2024-11-25"
"Figurentheater Blauer Mond spielt: Yolka, das Trollmädchen",2024-11-25,10:00,,"Kulturforum, Kiel","theater
tags kinder
Location Link: http://www.kiel.de/kultur/kulturforum/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225405&date=2024-11-25"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-11-25,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-11-25"
