Title,Location,Categories,Date,Time
Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",26.11.2024,10:00 - 18:00 Uhr
Kiel festhalten. Stadtansichten von Gretel Riemann,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur']",26.11.2024,10:00 - 18:00 Uhr
Wohltemperiert. Für klimagerechte Architektur!,Freilichtmuseum Molfsee,"['Ausstellung', 'Kultur']",26.11.2024,10:00 - 16:00 Uhr
"Figurentheater Blauer Mond spielt: Yolka, das Trollmädchen",KulturForum in der Stadtgalerie,"['Kinderprogramm', 'Kultur', 'Theater']",26.11.2024,10:00 - 11:00 Uhr
Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",26.11.2024,10:00 - 18:00 Uhr
Weihnachten im Sophienhof,Sophienhof,"['Kinderprogramm', 'Shopping', 'Kultur', 'Märkte']",26.11.2024,10:00 - 20:00 Uhr
Weihnachtsmarkt - Asmus-Bremer-Platz,Asmus-Bremer-Platz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",26.11.2024,11:00 - 20:00 Uhr
Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",26.11.2024,11:00 - 18:00 Uhr
"Riesenrad am Bahnhof ""La Noria""",Kiel Hauptbahnhof,"['Kultur', 'Sport/Freizeit']",26.11.2024,11:00 - 21:00 Uhr
Weihnachtsmarkt Rathausplatz,Rathausplatz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",26.11.2024,11:00 - 21:00 Uhr
Weihnachtsmarkt - Holstenplatz,Holstenplatz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",26.11.2024,11:00 - 20:00 Uhr
Weihnachtsmarkt Bernhard-Minetti-Platz / Holtenauer Straße,Bernhard-Minetti-Platz,"['Märkte', 'Kultur', 'Gastronomie', 'Kinderprogramm']",26.11.2024,12:00 - 21:00 Uhr
Wintermarkt Bootshafen,Bootshafen,"['Gastronomie', 'Regionale Spezialitäten', 'Kultur', 'Märkte', 'Nachtleben']",26.11.2024,12:00 - 21:00 Uhr
Stadtwerke Eisfestival,Germaniahafen,"['Sport/Freizeit', 'Kinderprogramm', 'Kultur']",26.11.2024,13:00 - 20:00 Uhr
