,Date,Event,Time,Location,Category,Source
19,2024-10-11,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
20,2024-10-11,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
21,2024-10-11,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
22,2024-10-11,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
23,2024-10-11,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
24,2024-10-11,Daina Weinland - POP-UP-GALERIE,12:00,Galeriewerkstatt Caroline Rügge,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
25,2024-10-11,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,14:00,Geschichtswerkstatt Herrenwyk,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
26,2024-10-11,"Text trifft Tanke - Kunstwerke zum Thema ""Schöpfung"" lyrisch interpretiert",16:00,Kunsttankstelle Defacto Art,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
27,2024-10-11,Ein Koffer voll Geschichten,16:00,Stadtbibliothek,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
28,2024-10-11,Poetry Slam: Keiner kommt hier lebend raus,19:30,Schuppen 6,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
29,2024-10-11,Dominic Jozwiak,20:00,Kolosseum,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-12,Der kleine König und sein Pferd Grete - Figurentheater KOLK 17,15:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-12,Laurel & Hardy - Figurentheater KOLK 17,15:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-12,Des Kaisers neue Kleider,16:00,Theater am Tremser Teich,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-12,Die Niere,19:30,Comödie Lübeck,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-12,Die Passagierin - Premiere,19:30,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-12,Himmlische Zeiten,19:30,Theaterschiff,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-12,Der Durchbruch - Das Kleinkunstmusical,20:00,Theater Combinale,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-12,Der Vampir,20:00,Theaterhaus der Gemeinnützigen,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-12,Haut & Haar - Jung plus X,20:00,Essigfabrik,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-12,Shock­headed Peter (Struwwel­peter),20:00,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-12,KANTate - zum 300. Geburtstag von Immanuel Kant,19:00,St. Petri Lübeck,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-12,Tom Klose,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-12,"Slope, support: Grove Street & Lifecrusher - Fury Funk Tour",21:00,Treibsand,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-12,"Die Unbeugsamen 2 – Guten Morgen, ihr Schönen!",16:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-12,Ivo,18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
15,2024-10-12,Touch (DF),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
16,2024-10-12,Renate Straatmann und Ulrlike Dillig: Form trifft Farbe,09:30,Ostholstein-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
17,2024-10-12,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,10:00,Geschichtswerkstatt Herrenwyk,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
18,2024-10-12,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
19,2024-10-12,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
20,2024-10-12,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
21,2024-10-12,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
22,2024-10-12,Unsere Wakenitz,10:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
23,2024-10-12,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
