,Title,Location,Categories,Date,Time
347,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",15.10.2024,10:00 - 18:00 Uhr
348,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",15.10.2024,10:00 - 18:00 Uhr
349,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",15.10.2024,10:00 - 18:00 Uhr
350,Die Howaldtswerke – Neubeginn nach 1945,Industriemuseum Howaldtsche Metallgießerei,"['Ausstellung', 'Kultursommer']",15.10.2024,10:00 - 18:00 Uhr
351,Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",15.10.2024,10:00 - 17:00 Uhr
352,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],15.10.2024,10:00 - 17:00 Uhr
353,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",15.10.2024,11:00 - 18:00 Uhr
354,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",15.10.2024,11:00 Uhr
355,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",15.10.2024,11:00 - 18:00 Uhr
356,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",15.10.2024,13:00 Uhr
357,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],15.10.2024,14:00 - 18:00 Uhr
358,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",15.10.2024,15:00 Uhr
359,Karaoke,Pogue Mahone Irish Pub Kiel,"['Kultur', 'Nachtleben', 'Kultursommer']",15.10.2024,22:00 - 02:00 Uhr
