,Category,Title,Date,Time,Location,City
1341,Lesungen,VORLESESTUNDE IN DER STADTTEILBIBLIOTHEK MOISLING,09.10.2024,15:00 - 16:00 Uhr,Bibliothek der Hansestadt Lübeck,Lübeck
1342,"Barrierefrei, Bernsteinschleifen, Bernsteinschleifen / Basteln, Familie & Kinder, Familie / Kinder, Führung, Indoor, Malen & Basteln, Naturkunde, Vortrag",WORKSHOP: STRANDFUNDE BESTIMMEN UND BERNSTEINSCHLEIFEN IN FRIEDRICHSKOOG,09.10.2024,15:00 - 16:30 Uhr,"Tourismusservice in der Deichpassage, Koogstraße 141, 25718 Friedrichskoog-Spitze",Friedrichskoog-Spitze
1343,Familie & Kinder,XXL-HOLZSPIELE,09.10.2024,15:00 - 17:00 Uhr,KinderInsel an der Seebrücke,Großenbrode
1344,"Führung, Kreativ","ÖFFENTLICHE FüHRUNG DURCH DIE AUSSTELLUNG: „FRISCHER WIND – IMPRESSIONISMUS IM NORDEN""",09.10.2024,15:15 Uhr,Museum Kunst der Westküste,Alkersum
1345,sonstige Ausflüge & Führungen,ALLES üBERS SCHWARZWILD,09.10.2024,15:30 Uhr,Wildschweingehege im Kellenhusener Forst,Kellenhusen
1346,sonstige Ausflüge & Führungen,ALLES üBERS SCHWARZWILD,09.10.2024,15:30 Uhr,Wildschweingehege Kellenhusen,Kellenhusen
1347,Familie & Kinder,"AUSFLUG ,,WILDSCHWEINGATTER''",09.10.2024,15:30 - 18:00 Uhr,Käpt´n Kelli Klub,Kellenhusen
1348,N/A,N/A,N/A,N/A,N/A,N/A
1349,"Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, sonstige Ausflüge & Führungen, sonstige Naturkunde, Vogelkundliche Führungen, Wattwanderungen",FüHRUNG: VöGEL BEOBACHTEN IM BELTRINGHARDER KOOG,09.10.2024,15:30 - 17:00 Uhr,"Info-Pavillon Lüttmoorsiel - Integrierte Station Westküste, Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
1350,"Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, sonstige Naturkunde, Vogelkundliche Führungen",FüHRUNG: VöGEL BEOBACHTEN AUF HALLIG LANGENEẞ,09.10.2024,15:45 - 17:45 Uhr,"Lorenbahnhof , 25863 Hallig Langeneß",Hallig Langeneß
1351,sonstige Kunst & Kultur,AUF DEN SPUREN DER VERGANGENHEIT IM GRUBER DORFMUSEUM,09.10.2024,16:00 - 18:00 Uhr,Dorfmuseum Grube,Grube
1352,sonstige Ausflüge & Führungen,DER GROẞE HAFENBUMMEL MIT DEM WATTENPRäSIDENTEN MOMME CLAUSSEN,09.10.2024,16:00 - 17:30 Uhr,Museum am Meer,Büsum
1353,"Ausstellung, Familie & Kinder, Familie / Kinder, Indoor, Malen & Basteln",ESCAPE GAME IN DER ARCHE WATTENMEER,09.10.2024,16:00 - 17:00 Uhr,Arche Wattenmeer,Hörnum
1354,sonstige Seminare & Kurse,"FRIEDEL ANDERSON ""BIS JETZT"" - MALEREI 1984 - 2024",09.10.2024,16:00 - 21:00 Uhr,Detlefsen-Museum,Glückstadt
1355,"Familie, Herbst, Kinder, OstseeCard",KäPT'N KüMMEL,09.10.2024,16:00 - 17:00 Uhr,Kurparksaal,Scharbeutz
1356,Familie & Kinder,MAL- UND SPIELSPAẞ FüR KINDER,09.10.2024,16:00 - 17:00 Uhr,Strandhaus,Grömitz
1357,"FÖHRgreen Erlebnis, Führung, Natur",NATURERLEBNIS ANDELHOF – DIE HEIMISCHE NATUR ERLEBEN UND VERSTEHEN,09.10.2024,16:00 Uhr,Andelhof,Midlum
1358,Film / Theater,"OH, WIE SCHöN IST PANAMA",09.10.2024,16:00 - 16:45 Uhr,KOLK 17 Figurentheater & Museum zu Gast im Europäischen Hansemuseum,Lübeck
1359,N/A,N/A,N/A,N/A,N/A,N/A
1360,sonstige Kunst & Kultur,"VORLESEN, SPIELEN & MEHR IN DER STADTBüCHEREI",09.10.2024,16:00 Uhr,Stadtbücherei Heiligenhafen,Heiligenhafen
1361,"Ausstellung, Führung, Indoor, Vortrag",VORTRAG: 360 GRAD NATIONALPARK WATTENMEER,09.10.2024,16:00 - 17:30 Uhr,"Strandstraße 60, 25938 Wyk",Wyk auf Föhr
1362,"FÖHRgreen Erlebnis, Natur, Vortrag",VORTRAG: 360 GRAD NATIONALPARK WATTENMEER,09.10.2024,16:00 Uhr,Schutzstation Wattenmeer,Wyk
1363,Kinder,"""TRAUMSTUNDE""",09.10.2024,16:30 Uhr,"Strandübergang ""Lollypop""",Norddorf auf Amrum
1364,Familie & Kinder,LATERNE BASTELN,09.10.2024,16:30 Uhr,Strandhaus,Grömitz
1365,"Familie & Kinder, sonstige Sportveranstaltungen",BOULE TURNIER,09.10.2024,17:00 Uhr,Niendorfer Promenade,N/A
1366,"Familie / Kinder, Führung, Naturkunde, Outdoor, Vogelkundliche Führungen, Vortrag",FüHRUNG: DIE VOGELWELT DES BELTRINGHARDER KOOGS,09.10.2024,17:00 - 18:00 Uhr,"Holmer Siel, 25845 Nordstrand",Nordstrand
1367,sonstige Kunst & Kultur,KINO IN KELLENHUSEN,09.10.2024,17:00 - 19:00 Uhr,Biomaris-Raum,Kellenhusen
1368,sonstige Ausflüge & Führungen,KLOSTERFüHRUNG,09.10.2024,17:00 - 18:00 Uhr,Kloster Cismar,Cismar
1369,Sonstiges,LEBENSBAUM-INTERKULTURELLES THEATER-PROJEKT FüR FRAUEN,09.10.2024,17:00 - 20:00 Uhr,Aranat e.V. Frauenkommunikationszentrum,Lübeck
1370,N/A,N/A,N/A,N/A,N/A,N/A
1371,sonstige Konzerte,MITTWOCHSMUSIK - HITS UND OLDIES VON DAMALS BIS HEUTE!,09.10.2024,17:00 - 18:30 Uhr,Ostsee-Ferienpark Heiligenhafen,Heiligenhafen
1372,sonstige Konzerte,MITTWOCHSMUSIK - HITS UND OLDIES VON DAMALS BIS HEUTE!,09.10.2024,17:00 - 18:30 Uhr,Pavillon im Ostsee-Ferienpark,Heiligenhafen
1373,sonstige Konzerte,MITTWOCHSMUSIK IM PAVILLON IM FERIENPARK,09.10.2024,17:00 - 18:30 Uhr,Pavillon am Binnensee,Heiligenhafen
1374,sonstige Ausflüge & Führungen,MS HANSA | TRAVEFAHRT VON TRAVEMüNDE NACH LüBECK,09.10.2024,17:00 Uhr,Anleger Kaiserbrücke Travemünde,Travemünde
1375,Rundfahrten,MS HANSE | TRAVEFAHRT VON LüBECK NACH TRAVEMüNDE,09.10.2024,17:00 Uhr,Anleger Hansekai,Lübeck
1376,Natur,VOGELKIEK FüR NEULINGE,09.10.2024,17:00 - 18:30 Uhr,Tourist-Information Dagebüll,Dagebüll
1377,Wellness/Entspannung,YOGA FüR ANFäNGER,09.10.2024,17:15 - 18:15 Uhr,Vitalcenter am Leuchtturm Pelzerhaken,Pelzerhaken
1378,"Abend / Nacht, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor",ABEND AM MEER - DURCH DEN NATIONALPARK ZUM LEUCHTTURM,09.10.2024,17:30 - 19:00 Uhr,"Ahndelweg 4, 25881 Westerheversand",Westerheversand
1379,Rundfahrten,ABENDTöRN AUF DER ELBE,09.10.2024,17:30 - 20:00 Uhr,Anleger Hafen Kollmar,Kollmar
1380,Familie & Kinder,MINI-DISCO,09.10.2024,17:30 - 18:00 Uhr,KinderInsel,Großenbrode
1381,N/A,N/A,N/A,N/A,N/A,N/A
1382,"Familie & Kinder, Kinder",STERNSTUNDE - FüR TRAUMTäNZER UND NACHTEULEN,09.10.2024,17:30 - 18:00 Uhr,"Musikpavillon, Veranstaltungszentrum",Wyk
1383,"Familie & Kinder, Kinder",STERNSTUNDE - FüR TRAUMTäNZER UND NACHTEULEN,09.10.2024,17:30 - 18:00 Uhr,"Musikpavillon, Veranstaltungszentrum",Wyk
1384,"Familie, Gesundheit",DIE 7 GESUNDHEITSGEHEIMNISSE DER JAHRHUNDERTE,09.10.2024,18:00 - 19:00 Uhr,Haus des Gastes Sierksdorf,Sierksdorf
1385,sonstige Seminare & Kurse,MALKURS,09.10.2024,18:00 - 20:30 Uhr,Galerieatelier Bianca Leidner,Barsbek
1386,Klassik,ORGELPUNKT,09.10.2024,18:00 Uhr,Kirche Bargteheide,Bargteheide
1387,Vortrag,VORTRAG: NOBELPREISTRäGERINNEN IM SPIEGEL DER ZEIT,09.10.2024,18:00 - 20:00 Uhr,Bibliothek der Hansestadt Lübeck,Lübeck
1388,sonstige Handwerken,WEDNESDAY AT SIX - AFTER WORK HOUR: SCHREIBEN AN D,09.10.2024,18:00 - 19:15 Uhr,Strandnixe MareMinde,Eckernförde
1389,Sonstiges,"""ROTARY CLUB AMRUM"", ZUSAMMENKUNFT",09.10.2024,18:30 Uhr,Hotel Hüttmann,Norddorf auf Amrum
1390,sonstige Feste & Märkte,DER NORDSTRAND LEUCHTET,09.10.2024,18:30 - 22:00 Uhr,"Nordstrand Wäldchen, Spielplatz",Kellenhusen
1391,Wellness/Entspannung,YOGA MITTELSTUFE,09.10.2024,18:30 - 19:30 Uhr,Vitalcenter am Leuchtturm Pelzerhaken,Pelzerhaken
1392,N/A,N/A,N/A,N/A,N/A,N/A
1393,Natur,"""DARK DUNES""",09.10.2024,19:00 Uhr,Parkplatz,Norddorf auf Amrum
1394,Ausstellungen,"AUSSTELLUNG ""TEXT TRIFFT TANKE""",09.10.2024,19:00 - 18:00 Uhr,Kunsttankstelle,Lübeck
1395,sonstige Religion,BIBEL FEMINISTISCH GELESEN - ONLINE-GESPRäCHSKREIS,09.10.2024,19:00 - 20:30 Uhr,Online (Ev. Bildungswerk Kirchenkreis Plön-Segeberg),Bad Segeberg
1396,sonstige Ausflüge & Führungen,DER STRAND LEUCHTET - EINE UV-LICHTEXKURSION AM STRAND,09.10.2024,19:00 Uhr,"Alte Kurverwaltung, Seeseite",Kellenhusen
1397,Familie,ERLEBNIS STERNWARTE,09.10.2024,19:00 - 20:00 Uhr,Sternwarte Neustadt,Neustadt in Holstein
1398,Vortrag,GRENZGäNGER - MIT DEM E-BIKE 1.500 KM AUF DEM GRüNEN BAND,09.10.2024,19:00 - 20:30 Uhr,Museum für Natur und Umwelt,Lübeck
1399,Vortrag,GRENZGäNGER. MIT DEM E-BIKE 1.500 KM AUF DEM GRüNEN BAND EINE LEBENSGESCHICHTLICHE REISE VON OST NACH WEST UND ZURüCK,09.10.2024,19:00 - 20:30 Uhr,Museum für Natur und Umwelt,Lübeck
1400,Kirche,HEILIGE MESSE,09.10.2024,19:00 Uhr,Kath. Kirche St. Elisabeth,Norddorf auf Amrum
1401,Familie & Kinder,LATERNENUMZUG MIT DEM FEUERWEHRMUSIKZUG GRöMITZ,09.10.2024,19:00 - 20:30 Uhr,Seebrückenvorplatz,Kellenhusen
1402,Familie & Kinder,LEUCHTSTAB-/ LED-WANDERUNG,09.10.2024,19:00 - 19:45 Uhr,KinderInsel bei der Seebrücke,Großenbrode
1403,N/A,N/A,N/A,N/A,N/A,N/A
1404,"Abend- und Nachtwanderungen, Ausflüge, buten (outdoor), Laufen/Walken/Wandern, Natur, Naturveranstaltungen, Winter",NACHTWANDERUNG DURCH DIE DüNEN,09.10.2024,19:00 - 21:30 Uhr,"Amrum, Norddorf",Norddorf
1405,"Gesundheit, Wellness/Entspannung",OFFENER REIKI ABEND,09.10.2024,19:00 - 21:00 Uhr,Praxis Sabine Peter,Neustadt in Holstein
1406,(Stadt)führungen,TüRMERFüHRUNG IM LATERNENSCHEIN,09.10.2024,19:00 - 20:15 Uhr,Marktplatz Mölln,Mölln
1407,"Brauchtum / Tradition, Naturkunde","VORTRAG ""LANDWIRTSCHAFT FRüHER UND HEUTE - KONVENTIONELLER LANDBAU, ÖKOLANDBAU, HYBRIDLANDWIRTSCHAFT",09.10.2024,19:00 Uhr,Eiszeitmuseum,Lütjenburg
1408,sonstige Sportveranstaltungen,YOGA - GANZHEITLICH & TRADITIONELL,09.10.2024,19:00 - 20:30 Uhr,Tourist-Info Schönberger Strand,Schönberg
1409,Vortrag,ZECKEN UND BORRELIOSE - HEILKRäFTE AUS DER NATUR ,09.10.2024,19:00 - 00:00 Uhr,Museum für Natur und Umwelt,Lübeck
1410,sonstige Seminare & Kurse,"„URBAN & LEICHT: HAMBURG, DER HAFEN & ANDERE TRäUME“: MIDISSAGE MIT DER STADTMALERIN NINA GROTH",09.10.2024,19:00 - 21:00 Uhr,Hamburger Sparkasse - Filiale Rellingen,Rellingen
1411,sonstige Religion,ABENDGOTTESDIENST,09.10.2024,19:30 Uhr,Neuapostolische Kirche - Gemeinde Neumünster,Neumünster
1412,Theater & Schauspiel,DER DURCHBRUCH,09.10.2024,19:30 - 21:10 Uhr,Theater Combinale,Lübeck
1413,"sonstige Kunst & Kultur, Theater",DER UNTERGANG DES HAUSES USHER,09.10.2024,19:30 Uhr,theater itzehoe,Itzehoe
1414,N/A,N/A,N/A,N/A,N/A,N/A
1415,Natur,FüHRUNG DURCH DAS ÖöMRANG HüS,09.10.2024,19:30 Uhr,Öömrang Hüs,Nebel
1416,Humor,KAY RAY SHOW,09.10.2024,19:30 Uhr,Theaterschiff Lübeck,Lübeck
1417,Kabarett,KAY RAY SHOW,09.10.2024,19:30 - 22:00 Uhr,Theaterschiff Lübeck,Lübeck
1418,sonstige Konzerte,LABOE SINGT,09.10.2024,19:30 - 20:30 Uhr,Freya Frahm Haus,Laboe
1419,Jazz & Blues,MEYER.HANSEN.DIEDRICHSEN,09.10.2024,19:30 Uhr,Kulturwerk am See,Norderstedt
1420,sonstige Kunst & Kultur,SINGALONG SESSION,09.10.2024,19:30 - 21:30 Uhr,St. Cyriacus Kirche Kellinghusen,Kellinghusen
1421,"Highlights, Natur, Vortrag","""BLüTENTRäUME"" WILDPFLANZEN AM WEGESRAND",09.10.2024,20:00 Uhr,Gemeindehaus,Norddorf auf Amrum
1422,sonstige Kunst & Kultur,HEILIGENHAFENABEND - RüCKBLICKE IN DIE VERGANGENHEIT,09.10.2024,20:00 Uhr,Pavillon im Ostsee-Ferienpark,Heiligenhafen
1423,sonstige Kunst & Kultur,HEILIGENHAFENABEND - RüCKBLICKE IN DIE VERGANGENHEIT,09.10.2024,20:00 Uhr,Ostsee-Ferienpark Heiligenhafen,Heiligenhafen
1424,sonstige Konzerte,MANUEL PABST,09.10.2024,20:00 Uhr,Spieker,Eckernförde
1425,N/A,N/A,N/A,N/A,N/A,N/A
1426,"Abend / Nacht, Familie / Kinder, Führung, Outdoor",NACHTWANDERUNG IN DEN NATIONALPARK,09.10.2024,20:00 - 21:30 Uhr,"Nationalpark-Haus, Maleens Knoll 2, St. Peter-Ording",St. Peter-Ording
1427,Shows & Varieté,SIEGFRIED & JOY - LASS - VEGAS IN LüBECK!,09.10.2024,20:00 Uhr,Kolosseum zu Lübeck,Lübeck
1428,sonstige Kunst & Kultur,TANGO ARGENTINO - NEUER ANFäNGERKURS,09.10.2024,20:15 - 21:30 Uhr,Tanzsaal Willers-Jessen-Schule,Eckernförde
1429,"Sport, Spiel und Wellness",EINFACH MAL MITSEGELN – SEGELTöRN VOR FöHR – TERMINE NACH ABSPRACHE,09.10.2024,ganztägig,Binnenhafen,Wyk
1430,Musikveranstaltungen,INTERNATIONALER ORGELZYKLUS JOHANN SEBASTIAN BACH,10.10.2024,00:00 Uhr,Lübecker Innenstadtkirchen,Lübeck
1431,Sonstiges,QUARTIERSARBEIT DER VERBRAUCHERZENTRALE SCHLESWIG-HOLSTEIN,10.10.2024,00:00 Uhr,Verbraucherzentrale Schleswig Holstein,Lübeck
1432,Sonstiges,SICHT_FELDER FüR LüBECK,10.10.2024,01:00 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
1433,sonstige Seminare & Kurse,FOTOAUSSTELLUNG „ÜBERGäNGE“ DES FOTOCLUBS NORDERSTEDT E.V.,10.10.2024,05:00 - 22:00 Uhr,Stadtpark Norderstedt,Norderstedt
1434,Rundfahrten,LüHE SCHULAU FäHRE AB WEDEL,10.10.2024,06:30 Uhr,Anleger Schulauer Hafen,Wedel
1435,Sonstiges,DAY SPA MIT MEERBLICK,10.10.2024,07:00 - 22:00 Uhr,ATLANTIC Grand Hotel Travemünde,Travemünde
1436,Wochenmärkte,WOCHENMARKT MALZMüLLERWIESEN,10.10.2024,07:00 - 12:00 Uhr,Malzmüllerwiesen Itzehoe,Itzehoe
1437,sonstige Feste & Märkte,WOCHENMARKT TRAVEMüNDE,10.10.2024,07:30 - 13:00 Uhr,Wochenmarkt Travemünde,Travemünde
1438,sonstige Ausflüge & Führungen,"""BEI WIND UND WETTER""",10.10.2024,08:00 - 08:30 Uhr,Rückseite / Apsis der Klosterkirche,Cismar
1439,sonstige Seminare & Kurse,DAS POLNISCHE PLAKAT,10.10.2024,08:00 - 18:30 Uhr,Rathaus Reinbek,Reinbek
1440,N/A,N/A,N/A,N/A,N/A,N/A
1441,sonstige Seminare & Kurse,"FOTOAUSSTELLUNG ""STRUKTUREN""",10.10.2024,08:00 - 12:00 Uhr,Rathaus Bad Segeberg,Bad Segeberg
1442,sonstige Seminare & Kurse,KULTUR TRIFFT LEERSTAND - GEMäLDE UND HOLZKöPPE AUF DEM ROTEN TEPPICH,10.10.2024,08:00 - 16:00 Uhr,ehem. VR Bank NMS,Wahlstedt
1443,sonstige Gesundheit,VENENMESSUNG,10.10.2024,08:00 - 18:30 Uhr,Nicolai Apotheke am Ochsenkopf,Eckernförde
1444,Ausstellungen,WEIT MEHR ALS MEER | KUNSTWERKE AUS LEIDENSCHAFT,10.10.2024,08:00 - 17:00 Uhr,Kanzlei am Hafen,Travemünde
1445,sonstige Seminare & Kurse,WINDART SKULPTUREN WALK,10.10.2024,08:00 Uhr,verschiedene Spielstätten in Travemünde,Travemünde
1446,Ausstellungen,WINDART SKULPTUREN WALK,10.10.2024,08:00 - 23:00 Uhr,verschiedene Orte in Travemünde,Travemünde
1447,Wochenmärkte,WOCHENMARKT,10.10.2024,08:00 - 12:00 Uhr,Marktplatz St. Michaelisdonn,Sankt Michaelisdonn
1448,sonstige Feste & Märkte,WOCHENMARKT IN SCHöNBERG,10.10.2024,08:00 - 13:00 Uhr,Fußgängerzone Schönberg,Schönberg
1449,Wochenmärkte,WOCHENMARKT IN WAHLSTEDT,10.10.2024,08:00 - 13:00 Uhr,Marktplatz Wahlstedt,Wahlstedt
1450,sonstige Sportveranstaltungen,YIN & YANG YOGA IM KLOSTERKRUG CISMAR,10.10.2024,08:00 - 09:00 Uhr,Klosterkrug Cismar,Cismar
1451,N/A,N/A,N/A,N/A,N/A,N/A
1452,sonstige Kunst & Kultur,"AUSSTELLUNG ""BLICKFANG""",10.10.2024,09:00 - 12:00 Uhr,Rathaus,Heiligenhafen
1453,Ausstellungen,GäRTNERN IN DER STADT,10.10.2024,09:00 - 17:00 Uhr,Museum für Natur und Umwelt,Lübeck
1454,N/A,HURRICANE BOOTSVERMIETUNG TRAVEMüNDE | MOTORBOOTE,10.10.2024,09:00 - 18:00 Uhr,"Hurricane BootsVermietung Travemünde, Prinzenbrücke",Travemünde
1455,Ausstellungen,SUTSCHE TOUR,10.10.2024,09:00 - 18:00 Uhr,sutsche tour,Lübeck
1456,Ausstellungen,UNSERE WAKENITZ,10.10.2024,09:00 - 17:00 Uhr,Museum für Natur und Umwelt,Lübeck
1457,N/A,"YOGA, TANZ, FUNCTIONAL TRAINING | KURSE NACH KURSPLAN",10.10.2024,09:00 - 21:00 Uhr,"Studio Esther Kemp | Yoga, Functional Training & Tanz",Travemünde
1458,"Kinder, Natur","""AMRUMS NATUR ERLEBEN""",10.10.2024,09:30 Uhr,NaTour-Düne,Wittdün auf Amrum
1459,"Ausstellung, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung",AUSSTELLUNGSFüHRUNG MIT FüTTERUNG DER AQUARIENTIERE,10.10.2024,09:30 - 11:00 Uhr,"NatourDüne, Am Schwimmbad 1, 25946 Wittdün",Wittdün
1460,sonstige Seminare & Kurse,ERINNERN! DIE KINDER VOM BULLENHUSER DAMM (SONDERAUSSTELLUNG),10.10.2024,09:30 - 16:00 Uhr,KZ-Gedenkstätte Neuengamme,Hamburg
1461,sonstige Religion,FRüHSTüCKSTREFFEN,10.10.2024,09:30 - 11:30 Uhr,St. Michaelis-Kirche Itzehoe-Wellenkamp,Itzehoe
1462,N/A,N/A,N/A,N/A,N/A,N/A
1463,Ausstellungen,KUNSTAUSSTELLUNG MICHAEL WEIGEL,10.10.2024,09:30 - 18:30 Uhr,Galerie im Maritim,Travemünde
1464,Familie & Kinder,MAL- UND SPIELSPAẞ FüR KINDER,10.10.2024,09:30 - 11:30 Uhr,Strandhaus,Grömitz
1465,Sonstiges,STRANDHAUS GEöFFNET,10.10.2024,09:30 - 17:00 Uhr,Strandhaus,Grömitz
1466,"Familie / Kinder, Führung, Outdoor, Wattwanderung",WATTWANDERUNG VOR WESTERHEVER - DAS WATT LEBT!,10.10.2024,09:30 - 11:30 Uhr,"Am Leuchtturm 1, 25881 Westerheversand",Westerheversand
1467,(Stadt)führungen,WEIMAR: KULTUR UND GESCHICHTE - EINE REISE IN DIE WELT VON GOETHE UND SCHILLER - BILDUNGSREISE,10.10.2024,09:30 - 15:00 Uhr,"Hotel Amalienhof, Amalienstraße 2, 99423 Weimar",VHS Schenefeld
1468,"Natur, Wattwanderung","FÄLLT LEIDER AUS !!!
WATTWANDERUNG FöHR NACH AMRUM MIT SUSANNE BLANK UND HERMANN HINSBERGER",10.10.2024,09:45 Uhr,"Deichparkplatz, ""Zum Wattenläufer""",Dunsum
1469,Schwimmsport,AQUAFIT,10.10.2024,10:00 - 10:45 Uhr,Seiteneingang FehMare,Fehmarn
1470,Ausstellungen,AUGMENTED REALITY-TOUR »TATORT GERRESHEIM«,10.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
1471,sonstige Seminare & Kurse,"AUSSTELLUNG ""ALLTAGSGEDANKENREISEGEPäCK""",10.10.2024,10:00 - 12:00 Uhr,Kulturhaus Alte Apotheke,Schönberg
1472,Familie & Kinder,BASTELVORMITTAG - BASTELN VON URLAUBSERINNERUNGEN,10.10.2024,10:00 - 12:00 Uhr,Käpt´n Kelli Klub,Kellenhusen
1473,N/A,N/A,N/A,N/A,N/A,N/A
1474,Sonstiges,BESICHTIGUNG DER OSTSEESTATION TRAVEMüNDE,10.10.2024,10:00 - 17:00 Uhr,Ostseestation Travemünde,Travemünde
1475,N/A,DEICHWANDERUNG: GESCHICHTE & NATUR,10.10.2024,10:00 - 11:30 Uhr,Schutzstation Beltringharder Koog,Reußenköge
1476,Ausstellungen,DER DANZIGER TEXTILSCHATZ IM ZEICHEN EUROPäISCHER FREUNDSCHAFT,10.10.2024,10:00 - 17:00 Uhr,St. Annen-Museum,Lübeck
1477,sonstige Seminare & Kurse,ES WAR EINMAL EINE GRENZE...,10.10.2024,10:00 Uhr,Kloster Rehna,Rehna
1478,Ausstellungen,EXTRA TIME,10.10.2024,10:00 - 17:00 Uhr,Kunsthalle St. Annen,Lübeck
1479,sonstige Seminare & Kurse,"FERNE ERDEN - KERAMIK AUS SüDAMERIKA, AFRIKA UND ASIEN",10.10.2024,10:00 - 17:00 Uhr,Schloss Reinbek,Reinbek
1480,"Familie & Kinder, Highlights, Kinder, Natur",FLENS-STRANDGUT-AKTION,10.10.2024,10:00 Uhr,Vor dem Veranstaltungszentrum,Wyk
1481,"Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Pflanzenkundliche Führungen, sonstige Ausflüge & Führungen, sonstige Naturkunde, Wattwanderungen",FüHRUNG: GESCHICHTE UND NATUR DES BELTRINGHARDER KOOGS,10.10.2024,10:00 - 11:30 Uhr,"nördlich von Nordstrand / Husum (Arlau Schleuse, Hattstedter Koog 42, 25856 Hattstedter Marsch) Treffpunkt: Info-Schaukasten",Hattstedter Marsch
1482,"Familie & Kinder, Familie / Kinder, Führung, Outdoor, Wattwanderung, Wattwanderungen",FüHRUNG: WATTWANDERUNG VOR DEM MELDORFER SPEICHERKOOG,10.10.2024,10:00 - 12:00 Uhr,"Treffpunkt: Badestelle Elpersbüttel, Mückenweg, 25704 Elpersbüttel",Elpersbüttel
1483,Familie & Kinder,HERBSTFLASCHEN GESTALTEN,10.10.2024,10:00 - 13:00 Uhr,KinderInsel bei der Seebrücke,Großenbrode
1484,N/A,N/A,N/A,N/A,N/A,N/A
1485,sonstige Ausflüge & Führungen,HISTORISCHER ORTSRUNDGANG DURCH KELLENHUSEN,10.10.2024,10:00 - 12:00 Uhr,Tourist-Info,Kellenhusen
1486,"Spielen, Quizzen & Gaming",HUNDEFOTOGRAFIE AM STRAND,10.10.2024,10:00 Uhr,Hundestrand,Eckernförde
1487,sonstige Seminare & Kurse,IM SELBEM AUGENBLICK,10.10.2024,10:00 Uhr,Kloster Rehna,Rehna
1488,N/A,KLETTERWALD TRAVEMüNDE,10.10.2024,10:00 - 19:00 Uhr,Kletterwald Travemünde,Travemünde
1489,sonstige Religion,LUTHERPROJEKT,10.10.2024,10:00 Uhr,Ev.-Luth. Bugenhagen-Kirche Neumünster (Gemeindehaus),Neumünster
1490,sonstige Ausflüge & Führungen,MIT DER NORDERFäHRE ZUM PRIWALL,10.10.2024,10:00 Uhr,Treffpunkt: Fährplatz Travemünde,Travemünde
1491,Sonstiges,MIT DER NORDERFäHRE ZUM PRIWALL,10.10.2024,10:00 - 22:30 Uhr,Personenfähre Nordermole,Travemünde
1492,"Familie & Kinder, Kinder, Sport, Spiel und Wellness",MOIN KIDS! - FüR MORGENMUFFEL UND FRüHAUFSTEHER,10.10.2024,10:00 - 10:30 Uhr,"Musikpavillon, Veranstaltungszentrum",Wyk
1493,sonstige Seminare & Kurse,NAHE FERNE - MALEREI VON KATHARINA ISMER,10.10.2024,10:00 - 17:00 Uhr,Schloss Reinbek,Reinbek
1494,"Familie / Kinder, Führung, Outdoor, Wattwanderung",NATURKUNDLICHE WATTWANDERUNG AM SüDSTRAND,10.10.2024,10:00 - 12:00 Uhr,"Bushaltestelle Südstrand, St. Peter-Ording",St. Peter-Ording
1495,N/A,N/A,N/A,N/A,N/A,N/A
1496,"Rundfahrten, sonstige Ausflüge & Führungen",RUND UM BURG FAHRRADTOUR,10.10.2024,10:00 - 14:30 Uhr,Radtouren des Tourismus-Service Fehmarn,Fehmarn
1497,Sonstiges,"SANDSKULPTUREN TRAVEMüNDE | LEGENDEN, MYTHEN UND SAGEN",10.10.2024,10:00 - 18:00 Uhr,Bootshallen am Fischereihafen,Travemünde
1498,sonstige Ausflüge & Führungen,SCHIFFFAHRT MIT DER MS NORDLICHT: OSTSEERUNDFAHRT,10.10.2024,10:00 - 11:00 Uhr,Seebrücke Kellenhusen,Kellenhusen
1499,sonstige Ausflüge & Führungen,SCHMETTERLINGSGARTEN,10.10.2024,10:00 Uhr,Schmetterlingsgarten NABU,Bad Segeberg
1500,"Ausflüge, Natur","SEETIERFANG – SEEHUNDSBäNKE MIT MS ""RUNGHOLT""",10.10.2024,10:00 - 13:00 Uhr,"MS ""Rungholt"", Binnenhafen",Wyk
1501,"Familie / Kinder, Führung, Outdoor, Schiffstour",SEETIERFANGFAHRT ZU DEN SEEHUNDSBäNKEN AB HAFEN HöRNUM,10.10.2024,10:00 - 11:30 Uhr,"Hafenstraße, 25997 Hörnum",Hörnum / Sylt
1502,Ausstellungen,TOUR DE GRASS,10.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
1503,sonstige Seminare & Kurse,TRANG NGUYEN - LEBENSFREUDE,10.10.2024,10:00 - 19:00 Uhr,Stadtbücherei Ahrensburg,Ahrensburg
