,Category,Title,Date,Time,Location,City
2239,Ausstellungen,NEUE VOGELWELT IM BELTRINGHARDER KOOG | INTEGRIERTE STATION WESTKüSTE,12.10.2024,14:00 - 14:45 Uhr,"Integrierte Station Westküste ""Lüttmoorsiel"", Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
2240,sonstige Seminare & Kurse,PROVIANTHAUS ATELIERS,12.10.2024,14:00 - 17:00 Uhr,Provianthaus Glückstadt,Glückstadt
2241,"Familie / Kinder, Führung, Outdoor, Schiffstour",SEETIERFANGFAHRT ZU DEN SEEHUNDSBäNKEN AB HAFEN HöRNUM,12.10.2024,14:00 - 15:30 Uhr,"Hafenstraße, 25997 Hörnum",Hörnum / Sylt
2242,sonstige Ausflüge & Führungen,ÜBERRASCHENDE VIELFALT IN DEN FRöRUPER BERGEN,12.10.2024,14:00 - 17:00 Uhr,Wanderparkplatz,Frörup
2243,sonstige Seminare & Kurse,UTA MASCH VON EBENEN UND UFERN - MALEREI,12.10.2024,14:00 - 17:00 Uhr,Galerie Stehr,Tornesch
2244,sonstige Sportveranstaltungen,VFR LABOE VS. SPVG EIDERTAL MOLFSEE II,12.10.2024,14:00 Uhr,Stoschplatz,Laboe
2245,"Familie & Kinder, Nationalpark & Wattenmeer, sonstige Ausflüge & Führungen, Wattwanderungen",WATT FüR EINSTEIGER: KURZE WATTWANDERUNG IN BüSUM,12.10.2024,14:00 - 15:30 Uhr,Deich vorm Leuchtturm,Büsum
2246,"Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor, Wattwanderung, Wattwanderungen",WATT FüR EINSTEIGER: KURZE WATTWANDERUNG IN BüSUM,12.10.2024,14:00 - 15:00 Uhr,"Deich vor dem Büsumer Leuchtturm, 25761 Büsum",Büsum
2247,N/A,N/A,N/A,N/A,N/A,N/A
2248,sonstige Ausflüge & Führungen,STADTFüHRUNG INNENANSICHTEN: LüBECK - GLANZ UND GLORIA,12.10.2024,14:15 Uhr,Treffpunkt: Buddenbrook Shop,Lübeck
2249,Natur,"""MEHR ALS SAND UND SCHLICK""",12.10.2024,14:30 Uhr,Fahrradständer Odde,Norddorf auf Amrum
2250,"Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Wattwanderung, Wattwanderungen",WATTWANDERUNG IM RANTUMER SCHLICKWATT AUF SYLT,12.10.2024,14:30 - 16:00 Uhr,"Hafen Rantum, 25980 Rantum / Sylt",Rantum / Sylt
2251,Film / Theater,DER KLEINE KöNIG UND SEIN PFERD GRETE,12.10.2024,15:00 - 15:45 Uhr,KOLK 17 Figurentheater & Museum zu Gast im Europäischen Hansemuseum,Lübeck
